代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300853,申昊科技,54.49,0.93,0.50,0.17,0.02,0.83,--,19.62万,2040.70万,11.12亿,38.70
600740,山西焦化,7.64,0.93,0.07,-1.80,0.51,5.74,--,3760.58万,9.63亿,73.57亿,12.17
603026,石大胜华,65.00,0.92,0.59,-2.11,0.08,2.05,--,1017.90万,2.03亿,131.74亿,171.34
000620,新华联,2.22,0.91,0.02,0.45,0.01,1.05,--,48.93万,18.96亿,42.10亿,亏损
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
603577,汇金通,9.00,0.90,0.08,0.90,0.01,1.46,--,13.50万,2.45亿,22.05亿,20.89
601139,深圳燃气,6.79,0.89,0.06,-0.15,0.01,1.92,--,123.71万,28.77亿,195.33亿,14.57
688300,联瑞新材,53.28,0.89,0.47,0.89,0.01,0.36,--,21.31万,5091.75万,27.13亿,41.30
002163,海南发展,18.64,0.87,0.16,-0.64,0.01,0.94,--,79.22万,8.03亿,149.77亿,233.93
603500,祥和实业,13.00,0.85,0.11,0.00,0.01,0.39,--,19.37万,1.76亿,22.93亿,44.79
300297,蓝盾股份,4.74,0.85,0.04,-0.42,0.06,1.56,--,286.25万,10.04亿,47.60亿,215.22
603619,中曼石油,9.48,0.85,0.08,-0.11,0.03,1.61,--,121.82万,4.00亿,37.92亿,亏损
300188,美亚柏科,19.00,0.85,0.16,0.69,0.01,0.71,--,99.94万,6.01亿,114.24亿,40.79
300848,美瑞新材,50.32,0.84,0.42,2.67,0.01,0.20,--,7.04万,1667.00万,8.39亿,32.88
688288,鸿泉物联,38.00,0.82,0.31,0.82,0.00,0.04,--,1.52万,5132.63万,19.50亿,42.58
600674,川投能源,11.09,0.82,0.09,-0.27,0.00,1.46,--,123.65万,44.02亿,488.20亿,15.58
300905,宝丽迪,55.70,0.81,0.45,0.07,0.07,1.52,--,69.07万,1800.00万,10.03亿,38.60
603680,今创集团,13.83,0.80,0.11,0.80,0.00,0.46,--,12.31万,2.53亿,34.98亿,25.39
603876,鼎胜新材,12.59,0.80,0.10,-0.08,0.01,0.95,--,20.90万,2.39亿,30.12亿,亏损
002925,盈趣科技,64.45,0.80,0.51,0.83,0.00,0.49,--,78.63万,4.29亿,276.28亿,28.62
000836,富通信息,2.55,0.79,0.02,0.39,0.01,0.82,--,25.19万,12.08亿,30.81亿,1247.69
300800,力合科技,28.17,0.79,0.22,0.57,0.03,2.38,--,80.28万,9628.00万,27.12亿,17.85
003003,天元股份,15.44,0.78,0.12,-0.64,0.18,1.65,--,126.30万,4420.00万,6.82亿,46.05
603053,成都燃气,10.31,0.78,0.08,0.10,0.01,4.18,--,63.10万,5.61亿,57.83亿,22.14
002967,广电计量,34.92,0.78,0.27,-0.11,0.02,0.55,--,108.60万,1.89亿,66.17亿,175.67
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300633,开立医疗,23.30,0.78,0.18,-0.04,0.01,0.75,--,74.09万,4.00亿,93.20亿,262.70
000523,广州浪奇,2.62,0.77,0.02,0.00,0.02,0.73,--,32.20万,6.27亿,16.43亿,亏损
600137,浪莎股份,13.30,0.76,0.10,0.76,0.00,0.60,--,3.19万,9721.76万,12.93亿,67.56
002514,宝馨科技,4.00,0.76,0.03,-0.50,0.09,7.55,--,146.60万,4.06亿,16.22亿,亏损
600529,山东药玻,41.67,0.75,0.31,-2.64,0.05,2.20,--,1304.69万,5.95亿,247.92亿,44.88
002409,雅克科技,60.50,0.75,0.45,-0.98,0.01,0.55,--,173.03万,2.44亿,147.48亿,61.04
603006,联明股份,9.47,0.74,0.07,-0.11,0.01,1.63,--,11.36万,1.91亿,18.10亿,22.34
300611,美力科技,9.48,0.74,0.07,0.00,0.00,0.15,--,2.75万,1.22亿,11.54亿,40.54
300392,腾信股份,8.20,0.74,0.06,-0.49,0.00,0.79,--,10.25万,2.96亿,24.23亿,1117.05
002117,东港股份,8.23,0.73,0.06,0.00,0.01,1.09,--,36.95万,5.45亿,44.89亿,27.07
002690,美亚光电,41.30,0.73,0.30,-0.27,0.01,0.51,--,116.22万,3.29亿,135.72亿,63.28
603768,常青股份,16.55,0.73,0.12,-0.60,--,0.06,--,4965,2.04亿,33.76亿,34.08
688012,中微公司,128.55,0.73,0.93,0.02,0.01,0.79,--,429.02万,2.45亿,315.46亿,139.69
688088,虹软科技,58.17,0.73,0.42,0.71,0.01,0.65,--,84.03万,2.64亿,153.58亿,90.35
000973,佛塑科技,4.19,0.72,0.03,0.00,0.02,4.90,--,93.44万,9.67亿,40.53亿,62.99
603069,海汽集团,16.91,0.71,0.12,0.06,0.00,0.39,--,20.12万,3.16亿,53.44亿,亏损
605128,上海沿浦,29.68,0.71,0.21,-0.67,0.02,0.69,--,11.28万,2000.00万,5.94亿,34.50
603906,龙蟠科技,28.31,0.71,0.20,-0.04,0.00,0.35,--,29.44万,3.43亿,97.08亿,50.79
002724,海洋王,7.14,0.70,0.05,0.00,0.01,1.97,--,36.41万,3.59亿,25.62亿,28.42
600886,国投电力,8.60,0.70,0.06,-0.12,0.01,3.78,--,570.01万,69.66亿,599.07亿,8.62
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
002972,科安达,17.48,0.69,0.12,-0.06,0.00,0.36,--,2.97万,5853.28万,10.23亿,25.64
603345,安井食品,219.00,0.69,1.50,-0.33,0.00,0.32,--,162.06万,2.39亿,523.19亿,105.27
002713,东易日盛,7.34,0.69,0.05,0.69,0.00,0.59,--,10.13万,4.02亿,29.48亿,亏损
000663,*ST永林,4.44,0.68,0.03,-1.77,0.01,1.15,--,13.41万,2.91亿,12.94亿,亏损
002338,奥普光电,16.28,0.68,0.11,-0.49,0.01,1.30,--,56.33万,2.40亿,39.07亿,68.94
002502,*ST鼎龙,3.00,0.67,0.02,-1.32,0.05,7.59,--,99.84万,7.32亿,21.95亿,70.06
603600,永艺股份,13.61,0.67,0.09,-0.22,0.02,1.12,--,72.95万,3.03亿,41.17亿,14.90
000059,华锦股份,6.07,0.66,0.04,1.34,0.02,1.24,--,199.76万,15.99亿,97.08亿,亏损
603848,好太太,13.80,0.66,0.09,0.00,--,0.20,--,2.21万,4.01亿,55.34亿,27.39
000510,新金路,4.61,0.66,0.03,-0.86,0.05,2.27,--,131.71万,5.49亿,25.33亿,63.63
300817,双飞股份,23.10,0.65,0.15,0.35,0.00,0.26,--,3.23万,4430.40万,10.23亿,35.03
688100,威胜信息,23.20,0.65,0.15,-0.69,0.00,0.15,--,2.91万,1.64亿,38.15亿,42.07
300398,飞凯材料,15.55,0.65,0.10,0.26,0.01,0.74,--,43.70万,5.07亿,78.83亿,35.44
300691,联合光电,12.47,0.65,0.08,-0.24,0.01,2.11,--,23.07万,1.83亿,22.83亿,89.68
600481,双良节能,4.71,0.64,0.03,0.43,0.02,0.75,--,135.88万,16.27亿,76.64亿,104.47
