,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
151,南宁,1,糟糕的建模，糟糕的台词，糟糕的剧情。开局十分钟这电影就看的我尬得不行，编剧就不能走点心吗，对战双方直接叫草原军跟中原军？一只蝎子比营帐还大？这部电影应该直接划为奇幻古装爱情偶像剧。电影用实力证明不止是国外的片方（某迪士尼）会亵渎中国文化，花木兰直接变成了追求家庭功名利禄的人了？堂堂王子因为一个女人就无脑出兵？大军兵临城下谈情说爱？当着几十万大军在马上抱来抱去就停战了？然后强行讲道理，这不是烂片是什么，那些说好看的都是托,1107012188,Timo,0.5,3
152,郑州,,还不错还不错,1107700445,sweet13214,5.0,2
153,商丘,,花木兰的故事很小的时候就听过了，看完这部电影又温习了一下花木兰的故事，电影非常好看，推荐大家来看，钱花的很值,1106765346,盼盼盼啦,5.0,2
154,保定,,花木兰的故事大家都耳熟能详，但这部影片用动漫生动的演绎出了花木兰的事迹及爱国精神，非常值得推荐，真的非常好看,1106763639,McM628807325,5.0,3
155,苏州,,牛皮吹过头了吧😂😂😂,1107597457,e498045d-c48530,0.5,4
156,武汉,,能文能武的木兰值得我辈学习，替父从军的精神值得尊敬，愿我们能成长为如木兰一般的大树，庇护家人,1107670340,OFQ213325195,5.0,3
157,商丘,,"花木兰横空出世真的很好看，声音炸裂，特效细致入微，木兰诗熟读百遍，不如进入影院看一看。木兰虽为女儿身，但胸怀天下志，替父从军，征战沙场，守家卫国，是当之无愧的巾帼女英雄。抱赞,值得去看。真木兰，真英雄。",1106632479,A yu,5.0,5
158,郑州,,木兰-横空出世 这部电影是我今年看的第一部动漫 和我的外甥一起看的 他表示十分喜欢这部的动漫电影 很有时代教育意义,1107660985,jBi223662391,5.0,2
159,郑州,2,这部电影十分适合带着孩子们到电影院观赏 改电影不仅可以作为国漫一个比较好的开端 而且也是可以作为教育孩子引领孩子们健康成长的良好素材 推荐观影,1107634982,故执813,5.0,3
160,郑州,1,《木兰-横空出世》这部动漫是一部出国产电影 这一点是十分值得我们国人称赞的地方 对于这不动漫的画质我想说这是一个大胆的尝试 是纯正国漫的开端 推荐大家走进影院观赏该电影,1107658681,kyP905990220,5.0,2
161,白银,,孩子自己去看的,1107658480,jiahuima,5.0,1
162,南京,,跟宝宝一起去看的 还不错的影片,1106961032,dVn583035608,5.0,2
163,睢县,,花木兰的故事各位观众可谓耳熟能详，此番再现大银幕，而且是以动画形式真心看点颇多。这个国际化的大IP最终观感呈现了不俗的特质。他们秉承“中国人的故事中国人自己讲”的理念，抓住了外在中国化的山水美感与东方意境，以及内在国人才有的那份思乡思亲和家国情怀，内外兼修，让这个耳熟能详的传统故事再次焕发魅力，呈现出熟悉又陌生犹如“这么近，那么远”的质感，有着不一般的观赏体验,1106801174,ΘΘ,5.0,3
164,南京,1,非常好看的一部电影 纯正的中国元素,1107634742,Harry康,5.0,4
165,南宁,1,生动有趣的国漫，替父从军的英勇木兰，令人感动，国漫加油。,1106841189,茧。，,5.0,5
166,睢县,,华美的中国风建筑，是对祖国文化的大力宣传，让人惊叹画者的想象力和创造力，有一种想去看看的冲动。打斗场面比真的武侠片还出彩，中国功夫大放异彩，徒手，轻功……只要是武侠片中有的，片中都有，只有精彩，没有不足。,1106781469,pFC894079618,5.0,3
167,南宁,1,很棒的国漫，很有趣，为我们展现了国漫的精彩，也增加了我们对木兰的喜爱。,1107636539,aEw866705326,5.0,3
168,太原,2,很好看， 和女儿去看个电影，古有花木兰替父从军，望今有朵儿成才！,1107652792,陈小唏,5.0,3
169,成都,2,剧情非常一般 非常一般 支持国产动漫电影吧,1107647840,娇姐0211,2.5,4
170,乐清,1,很一般很一般,1107647609,痕痕仔,4.0,2
171,郑州,2,和以往花木兰题材的影视剧不同，这部木兰横空出世是全新的内容，非常的具有新意，令人眼前一亮充满好奇，十分想知道下一秒的内容是什么，另外，作为一部国产动漫，其制作精良，画面动作流畅，内容积极向上，和迪士尼动画片花木兰相比虽然有所不及，但已经不错了，我看到了国产动漫的希望。,1106628937,雪莹韩,5.0,5
172,衡水,2,真的是动画片,1107642788,Knv456788262,1.5,2
173,徐州,2,不错😊闺女喜欢看,1107645435,FJo712830499,4.5,2
174,舒兰,,不好看诶，有史以来第一次看电影看不进去了，真的太烂了,1107641729,HFR404552261,0.5,2
