,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
241,凉山,2,电影终究只是电影而已💔,1111120335,ALWG🌵,2.5,1
242,南阳,,好看，特别感人，最后都看哭了！！！！,1111123001,apn130166074,5.0,1
243,梅州,,woaini,1111120227,BDl833058845,5.0,3
244,慈溪,,很好看，很不错。,1111102307,小啊江很酷,5.0,2
245,上海,2,演员演技在线，但顶不住剧情尴尬,1111118425,专业养🐰员,2.5,4
246,户县,,重要的不是电影，是和谁一起去🤔,1111097756,jUr719479197,5.0,1
247,徐州,,蛮好看的，和我家宝贝一起看的呢，观看日期是8月25号，七夕节,1111119208,iND944547469,4.5,1
248,淮北,1,很好剧情也好,1111118353,。。,5.0,2
249,高密,,很棒，跟前任看的,1111116612,ઇଓ,5.0,1
250,烟台,,没有我想想的好看,1111116541,绾十八,2.5,2
251,上海,,还可以的吧。,1111116537,嗯嗯嗯嗯好吃好吃,5.0,2
252,许昌,,超级好看～～,1111116390,qUt158898889,5.0,2
253,新郑,,不喜欢难看无剧情,1111097535,小李小李小李O,0.5,2
254,延安,,挺好看的 可以,1111108876,友达以上0330,5.0,2
255,尉氏县,,挺好的，挺好的,1111113603,yHY151044531,4.0,2
256,临沂,,这的几度哭到崩溃，这个电影真的很好看，可能会有人觉得有的地方的剧情不是很好，但是演员演的真的很动人,1111110762,崽崽wife,5.0,2
257,杭州,,一般般 只是觉得太神话了,1111113305,Wecllove,4.5,2
258,永康,2,还算不错的也太太感动啦后面 ,1111108544,川崎原子,5.0,2
259,成都,2,挺好看的 害 ,1111109622,KaZ224415321,5.0,2
260,聊城,1,很不错的一个电影，演员们的演技都超级棒,1111107633,jony,5.0,3
261,黄骅,1,剧情虽然不错但深度不足，观看一部分就能想到结尾，简单明了,1111110243,田增哲,4.0,2
262,大连,,个人觉得不好看。,1111108104,第八个小矮人GG,0.5,3
263,昆明,,好看 不错 推荐,1111103998,高傲的毛某丶,4.5,2
264,广州,2,这部电影真的好看，感动哭了,1111105588,Crape myrtle,5.0,2
265,肇庆,2,邱倩 林格 我可以不顾一切去爱你 一直记得你 哪怕我老了 我快死了 我最爱的那个人 依旧是你,1111104522,alxy,5.0,3
266,天津,,第二次点了、好吃。他家鸭子没得说,1111106161,JiH153090362,4.5,2
267,郑州,,好看，非常喜欢,1111101343,SlC680007448,4.5,2
268,温岭,,没去看   ,1111098577,软儿耶,2.5,2
269,南昌,,好看好看啊！,1111099401,mjs321995291,5.0,2
270,南阳,,不错，很好看,1111098430,MarlboropOr,5.0,2
271,周口,,挺好看的，值得推荐,1111096498,kattymarry,5.0,1
272,广州,,代入感很强，从开始到结束像极了每一段遗憾的感情,1111098220,舟子喏,5.0,2
273,淇县,,不错不错  ,1111072617,q彭小镇p,5.0,2
274,深圳,,不是很好看，有点垃圾,1111090926,FcX117428492,2.0,2
275,呼和浩特,2,🍇🍇🍇🍇,1111098011,OyI754764552,5.0,1
276,天津,,好看，非常喜欢,1111094496,度梵.153,5.0,2
277,长春,1,还可以，，，,1111095299,uIr418258634,4.5,3
278,长春,1,还可以，，，,1111095298,uIr418258634,4.5,3
279,长春,1,还可以，，，,1111089928,uIr418258634,4.5,3
280,郑州,,nice！！,1111089887,Summer丿宁宁,5.0,3
281,淮安,,后劲反应比较大,1103512223,沈遇是人间理想,4.0,1
282,眉山,,真的挺好看的,1111086891,A刘江雯,3.5,2
283,遵义,1,挺不错的片子，希望自己也拥有那样的爱情,1111087991,柒皓,5.0,2
284,深圳,,一般般而已.,1111087820,wnlu0,2.5,2
285,清远,,"有点感动

",1111086606,qqj934533801,4.5,2
286,天津,2,太不错了啊哈哈,1111072276,k04o_,5.0,1
287,封丘,,只有我们在一起，时间才有意义,1104134685,熊二,3.0,2
288,张家口,,整体感受不错,1111083587,韬叶蕾妮,4.5,2
289,北京,,还是挺触碰的就是剧情狗血,1111064604,RUw198507049,4.0,3
290,武汉,,非常完美，好好看呀,1111083423,IWT373751150,5.0,2
291,许昌,,很棒，很好看,1111057844,tQL140879545,5.0,2
292,江阴,1,好看，不错的,1111079349,小鹏友齾,5.0,3
293,扬州,2,还能咯咯啦刚刚vv,1111076775,王璐7273,4.5,2
294,长治,2,挺好的 挺好哭的,1111077536,🐾*,4.5,2
295,沈阳,,个人感觉一般,1111073761,小美Zara,1.5,4
296,北京,,太感动了    ,1111071892,ugL537572781,5.0,4
297,连云港,,".
好看看看",1111064160,专业评影人董某某,5.0,2
298,仪征,,好看，，，，,1111076289,陈安麒,4.0,2
299,武汉,,一般。。。。,1111076276,kkkkkkkkkkjr,4.0,2
300,金坛,2,虽然很虐，但是很感人，男主真的太不容易了,1111075264,Nicky苒苒,5.0,3
301,福州,1,看一半就能猜个大概了,1111073402,Chan_,3.0,1
302,嘉鱼县,2,完全和宣传时候   不一样  ,1111073277,桃桃7092,0.5,2
303,安顺,,还行，看哭了，泪点低,1111064021,tl滕小姐,5.0,2
304,南宁,,看得不痛不痒！,1111073183,老福爷vip,4.5,2
305,徐州,,真的好好哭.,1111068696,咔咔丂,5.0,2
306,广州,,好看、、、、,1111071039,bRC316909921,5.0,2
307,霸州,2,还好不错挺感人得啊,1111057193,汤圆杀手,4.0,1
308,临沂,,挺不错的推荐,1111053345,Dje148473205,5.0,2
309,石家庄,,他朝若是同淋雪，此生也算共白头。,1111057165,皮诺曹别说谎,5.0,1
310,建阳,,"不错👍👍
",1111067562,箴言是我,3.5,2
311,徐州,,开头是你 结尾也是你,1111066820,mro866837800,5.0,2
312,北京,2,我在时间尽头等你等来的却是比悲伤更悲伤的故事 后来的我们都成为了彼此的前任,1111066809,曦屿🦄,5.0,1
313,重庆,,还是挺好看的,1111068244,想飞的土豆儿,3.5,2
314,长沙,,非常棒棒，推荐,1111029499,BillGates666,5.0,1
315,海门,,还不错👍，和闺蜜一起看的,1111066402,Dvd871209237,4.5,2
316,綦江,2,总体感觉还行吧,1111039946,YikX.🐻,3.0,2
317,浏阳,,好遗憾，中途有事走了，没看到最后 很好看,1111066260,浏阳火锅爱好者,5.0,2
318,绵阳,,我在时间尽头等你,1111059902,慕宇灬,5.0,2
319,成都,,很不错的电影,1111053045,sunny123云,5.0,3
320,阜阳,,每部电影都有它的优缺点，不评价,1111060880,qRN733306341,2.5,2
321,长春,,挺感人的👏👏,1111059519,W小玲0810,5.0,2
322,松原,,很好看！！！,1111061327,于枫悦呀,5.0,3
323,诸暨,,有被看哭好感人,1103208603,小鱼,5.0,1
324,白山,,唉～也就男主长得好看了，没有泪点啊,1111035894,鴘,0.5,2
325,青岛,,好看看(｡･ω･｡)ﾉ♡,1111056933,z趙偉w,5.0,2
326,合肥,2,剧情太容易猜了 时间倒流好几次有点烦,1111034744,Mmh514094470,3.0,3
327,抚州,2,这一次，不要再让我忘记你...,1111043178,惜听.,4.0,1
328,泰和县,2,还不错，男主女主的故事让人感动,1103663002,山川海,4.5,2
329,开封,,还好叭挺好的,1111050806,thV817107474,4.5,2
330,海沧,,不错了！两个人看刚刚好,1111056235,林伟乄,5.0,2
331,呼和浩特,,不错！！！！,1111039428,ZDw481352054,5.0,2
