,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
195,重庆,2,张译和范伟演技不错，小女孩演技一般，张艺谋找女演员都知道模子，没意思！,1111213463,mRY126170590,3.5,3
196,合肥,1,不错  时而幽默时而深沉  印象蛮深刻的,1111215124,Dccccccx,4.5,1
197,广州,,挺好的，很容易理解,1111211918,eyR853628907,5.0,2
198,昆明,,意料之中的好，演员演的🉑🉑🉑不过故事性没那么强，感觉更像是纪录片的节奏,1111212857,sher6666,4.0,3
199,济南,1,片子看完了 总感觉好像少了些什么 我理解导演想表达对电影的那种热爱 但可能是我没有经历过那种放电影的年代所以理解不上去 演员方面要特别夸一下刘浩存 小演员表现的真不错 张译总感觉有点用力过猛的感觉 剧情上来说很一般 幸好结尾没来个大团圆 不然还要降一分 不过老谋子的电影质感是真的高级 拍摄手法是真的业界标杆,1111215073,小博砸,3.5,3
200,秦皇岛,2,译哥那一脚踹门声，真是棒极了，吓得我这个小姐姐差点主动钻到还不是男友的男性朋友怀里，优秀！,1111214142,zzz1101,4.5,2
201,沈阳,2,差评，看的都要睡着了，一点意思都没有，没头没尾的，再也不想看张艺谋的电影了,1111213258,zsa652784907,0.5,1
202,成都,,"一般吧
说实话，我看不懂大导演的电影",1111209941,xiexiaohuan1011,3.5,2
203,北京,,张译按说选择电影角色会很谨慎，这次也是看剧本看走眼了,1111209938,ZHLE1818,2.5,2
204,周口,,5分还是给张译的,1111188810,淘宝小机灵,2.5,3
205,北京,,演技都很好，不过自己可能没经历过那个年代，不理解这里面体现的情怀。,1111212599,Laurie赵,3.5,3
206,太原,,很好，非常不错。,1111189790,fgC731294333,5.0,2
207,郑州,1,妹妹很好看，张译演技在线。德彪依旧,1111211588,L激情岁月,4.5,2
208,广州,1,删减太多，比较杂乱，不容易看懂，国师的作品的主题非常深刻，无论是父爱，是对时代的无奈，或者是一秒钟的社会。,1111211555,💛 可可爱爱的小🍊,4.0,2
209,郑州,1,我47岁了，看着张艺谋的电影成长的，适应和理解这部电影的氛围，喜欢！,1111189767,王绍辉 信隆建机 18236949187,5.0,2
210,通辽,2,不大好看，没意思,1111208800,mjU471759313,2.5,1
211,成都,1,有悬念，男主角演得不错,1111212467,阿龙,5.0,2
212,长沙,1,就这??就这,1111208779,不先,0.5,2
213,青岛,1,…………………就很好看，很喜欢,1111208745,狐狸很任性,5.0,3
214,长春,,电影很不错，,1111207854,苗YXmm,5.0,2
215,哈尔滨,2,"还不错，可以看看
",1111207851,cici茜茜里,4.0,2
216,西安,,一般般吧，刚刚及格，感觉没有什么深意，打六分是给演技。剧情一般般,1111208654,dingkkxx,3.0,2
217,长春,2,挺好看的 很感人 意味很深,1111189693,UdL939812208,5.0,3
218,天津,1,还行😁 ，,1111211331,谷浩炜-霖+物流快递云仓,5.0,2
219,崇州,1,可能我智商不够 没怎么懂,1111211249,Jack短佑,2.5,4
220,济南,1,过度宣传了…故事很简单，不太能打动现在的观众了。当然，张译和范叔的演技还是没的说！小刘的声音在电影中有点突兀。,1111207696,六丁丁,3.5,3
221,南宁,1,一个时期的事件，演绎那个时期的感觉。,1111209449,穷胸极饿…,3.5,2
222,南京,,如果没有被剪，应该会比现在好很多。,1111212143,wEq722631724,4.0,2
223,南川,1,就很可，后劲足。,1111209385,Die,5.0,2
