,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
235,福州,,只是想破罐子破罐子破摔,1111187442,嗷嗷嗷呜,5.0,2
236,重庆,,边看边流泪，值得看,1111223148,QLv904426090,5.0,1
237,沈阳,2,好看 好看 ,1111221375,Gao_小溅,5.0,2
238,安岳,,还好，还好。,1111223130,liqing66916,4.5,2
239,章丘区,,好看是是是说,1111222261,爱老婆031228,4.5,2
240,吕梁,,精彩绝伦，赞,1111205304,zjd26104,5.0,2
241,广汉,2,没有预期的好看，今年的第一次电影，活着就不容易，好评吧,1111197685,桃之¤老妖,4.5,2
242,南充,2,搞笑伴随着感人。,1111216991,你的解语🌻,5.0,1
243,成都,1,买一张票等于看好几部短片，有哭有笑，有甜有闹。《我和我的祖国》我并没有看过，但是这种家乡题材的电影我是真的很喜欢。这么多优秀的导演和演职人员共同演绎，阵容强大。这次我去影院刷了两次，我打满分。,1111220517,玉祥哥哥,5.0,2
244,沭阳,,好好吃哦，挺不错的,1111216969,wuli小研er,5.0,3
245,南宁,2,很好看！！！,1111223068,BabyKitty443,4.5,2
246,昆山,,很不错。太爱邓老头,1111205292,似温柔亦苍白，,5.0,1
247,瓦房店,2,挺好看的。。,1111210171,彼岸花开半夏J,5.0,2
248,淮南,2,电影好看的。,1111216928,汝汝。297,4.5,3
249,哈尔滨,,好看，强烈推荐,1111206283,像彗星般前进,5.0,4
250,南宁,,还挺不错的。,1111222154,oOH574155236,3.5,3
251,东阳,,具体减肥好方法缓解,1111187403,Aubeyr,5.0,2
252,上海,1,分镜头讲述了几位平凡人的故事，还是蛮有意思的，家乡一直在每位游子的心中吧,1111206256,keith_ywzhao,4.0,3
253,邢台,1,好看！不错不错,1111205252,IoI418536194,5.0,3
254,乌兰察布,,个人感觉一般,1111222068,GoV840411341,2.5,1
255,鞍山,1,电影感人 不失幽默,1111222042,小奇4114,5.0,3
256,长沙,1,我反正觉得不好看,1111197626,今朝7689,0.5,2
257,南阳,,和对象分手了所以 差评,1111205232,湖生1,0.5,2
258,重庆,,好看好看！！,1111197619,EOv323373498,5.0,2
259,天津,,不错！很好看,1111216789,fgN673398901,5.0,1
260,济南,,好看1111,1111221140,乱世词心,4.5,2
261,衡水,,好好看，又搞笑又感人,1111197600,BaekHyun721,4.5,2
262,资阳,,还行，挺好看的,1111215969,浮城梦魇丶,4.5,3
263,杭州,,真的很好看，每个故事情节都很有趣,1111217814,佳Katharine,4.5,2
264,西安,,还是不错的。,1109716175,HazardLi,3.5,2
265,长沙,1,还可以，挺不错的,1111206201,黄享毅,5.0,1
266,四平,,好看。   ,1111221052,UNx989197496,5.0,2
267,滨州,,电影给我看哭了,1111220243,呦呦呦呦呦幽幽子,5.0,2
268,乌鲁木齐,,非常不错，好,1111220240,ya吃吃吃就知道吃,5.0,1
269,广州,,好看真好看嗯,1111221007,miC178176661,5.0,2
270,郑州,,挺不错的，值得看,1111214981,uXI218867459,4.5,4
271,成都,,不错 很搞笑,1111215859,joh871848888,5.0,2
272,阳江,2,好看 想纪录片一样的电影,1111214969,大灰姑娘,5.0,2
273,合肥,,还行哈哈😄,1111217707,Destiny小志188,4.5,2
274,青岛,1,非常好看，，，，,1111197530,那所谓的左汐,5.0,2
275,丽江,,爱国情怀爆棚,1111216611,三臧洗头爱飘柔,5.0,2
276,盘锦,2,"不错、挺好看的
",1111197512,LyA523464773,5.0,2
277,西安,,不错，值得一看,1111215767,哥几个一起,3.5,1
278,郑州,,还是可以到没有太精怕,1111216546,phu227809800,4.0,2
279,北京,,真的太好看了！有笑有感动～,1111215744,祭酒啊,5.0,3
280,南京,,蛮好的，继续加油,1111217564,CSL19841126,3.5,1
281,成都,,非常好看电影,1111216516,云上池塘的泡泡,5.0,2
282,崇州,,好看！！！！,1111217539,时光笔墨c,4.0,3
283,重庆,1,不太喜欢分镜这种形式的电影,1111197478,薰爷,4.0,3
284,十堰,,感动，想起了自己的家乡,1111215672,fqkly99,5.0,2
285,扬州,1,很喜欢！值得推荐！,1111214767,茶韵kou清香,5.0,2
286,武安,2,不忘初心👍👍,1111213956,Kill him.,5.0,1
287,焦作,2,不错，搞笑的,1111214708,_qqd641388213618,4.5,2
